title,imageUrl,directors,synopsis,year,rating,letterboxd_url
A Girl is a Gun,https://metrograph.com/wp-content/uploads/2025/11/GirlisaGun_still_1.jpeg,['Luc Moullet'],"Jean-Pierre Léaud plays Billy the Kid, and things only get stranger from there in Moullet’s newly restored, slapstick Bouillabaisse Western, which follows Léaud’s loony Billy across the rugged terrain of the Hautes Alps, fleeing the law and hostile…",1971,3.4,https://letterboxd.com/film/a-girl-is-a-gun/
Millennium Mambo,https://metrograph.com/wp-content/uploads/2024/08/MILLENNIUM-MAMBO_2.jpg,['Hou Hsiao-hsien'],"A stylish and seductive submersion into the techno-scored neon nightlife of Taipei, Hou’s much-misunderstood marvel stars Shu Qi (The Assassin) as an aimless bar hostess drifting away from her blowhard boyfriend and towards Jack Kao’s suave, sensitive…",2001,3.8,https://letterboxd.com/film/millennium-mambo/
The Leopard,https://metrograph.com/wp-content/uploads/2025/06/THE-LEOPARD_3-copy.jpg,['Luchino  Visconti'],"Visconti, a committed communist with a taste for lavish luxury who also happened to be a titled Count of the Milanese aristocracy, depicts the overtaking of the class into which he was born by an ascendant bourgeoisie in his opulent adaptation—shot in…",1963,4.1,https://letterboxd.com/film/the-leopard/
The Shop Around the Corner,https://metrograph.com/wp-content/uploads/2025/11/THE-SHOP-AROUND-THE-CORNER_3.jpeg,['Ernst Lubitsch'],"Christmas is coming, and at Matuschek’s department store in Budapest—or, rather, a charming, snowbound Hollywood studio evocation of the city in its prewar splendor—the employees are bracing for the holiday rush. But that’s the least of the drama…",1940,4.2,https://letterboxd.com/film/the-shop-around-the-corner/
Strike,https://metrograph.com/wp-content/uploads/2025/11/STRIKE_2-copy.jpg,['Sergei Eisenstein'],"Eisenstein’s Battleship Potemkin, released eight months after the premiere of Strike, his narrative debut, would go on to become the textbook representative of the ideological fervency and “anything goes” creative indulgence that made the cinema of…",1925,4.2,https://letterboxd.com/film/the-gold-rush/
Battleship Potemkin,https://metrograph.com/wp-content/uploads/2025/11/BATTLESHIP-POTEMKIN_1.png,['Sergei Eisenstein'],"An epic dramatization of the mutiny of the crew of the namesake vessel, a dreadnought in the Imperial Russian Navy’s Black Sea Fleet, whose uprising was one of many that marked the revolutionary year of 1905 in the troubled Tsardom; also the film that,…",1925,4.0,https://letterboxd.com/film/battleship-potemkin/
McCabe & Mrs. Miller,https://metrograph.com/wp-content/uploads/2025/11/MCCABE-MRS.-MILLER_3-copy.jpg,['Robert Altman'],"Hailed by critic Pauline Kael as “a beautiful pipe dream of a movie,” Altman’s snowbound Western plays out in the ramshackle Washington frontier town of Presbyterian, where extravagantly fur-coated wandering gambler Warren Beatty decides to stick…",1971,4.1,https://letterboxd.com/film/mccabe-mrs-miller/
Eyes Wide Shut,https://metrograph.com/wp-content/uploads/2025/11/EYES-WIDE-SHUT_5.jpeg,['Stanley Kubrick'],"Christmas lights take on a malevolent gleam in Kubrick’s final masterpiece, a free adaptation of Dream Story, Viennese author Arthur Schnitzler’s 1926 novella of erotic compulsion. Dr. Bill Harford (Tom Cruise) hits the shivering streets of a…",1999,4.0,https://letterboxd.com/film/eyes-wide-shut/
Snow White and the Seven Dwarfs,https://metrograph.com/wp-content/uploads/2025/11/SNOW-WHITE-AND-THE-SEVEN-DWARFS_9-copy.jpg,['Multiple Dirs'],"Walter Elias Disney had taken risks in his professional life before, some of them quite substantive, but never, before or after, would he put all his chips on the table in the way that he did with Snow White and the Seven Dwarfs. It would be the first…",1937,3.4,https://letterboxd.com/film/snow-white-and-the-seven-dwarfs/
The Muppet Christmas Carol,https://metrograph.com/wp-content/uploads/2025/11/THE-MUPPET-CHRISTMAS-CAROL_1.jpeg,['Brian  Henson'],"The first Muppet movie to appear after the early death of genius Jim Henson, and the most emotionally rich of them all, a revitalizing retelling of Charles Dickens’s classic tale with Michael Caine as a superb Scrooge, Kermit as Bob Cratchit, and a host…",1992,4.1,https://letterboxd.com/film/the-muppet-christmas-carol/
A Summer at Grandpa's,https://metrograph.com/wp-content/uploads/2025/11/A-SUMMER-AT-GRANDPAS.jpg,['Hou Hsiao-hsien'],"Frequently approximating the point-of-view of its young protagonists, two siblings sent to stay with their grandfather in lush rural Taiwan while their hospitalized mother recuperates from a lingering illness, the first film in Hou’s coming-of-age…",1984,3.9,https://letterboxd.com/film/a-summer-at-grandpas/
"A Time to Live, a Time to Die",https://metrograph.com/wp-content/uploads/2025/11/A-TIME-TO-LIVE-A-TIME-TO-DIE_7.jpeg,['Hou Hsiao-hsien'],"Arguably the film in which all the elements of Hou’s meticulously controlled, objectively distanced mature style identifiably coalesce, and his first collaboration with crucial cohort Lee, the deeply personal coming-of-age story A Time to Live, a Time…",1985,4.0,https://letterboxd.com/film/the-time-to-live-and-the-time-to-die/
Dust in the Wind,https://metrograph.com/wp-content/uploads/2025/11/DUST-IN-THE-WIND.jpg,['Hou Hsiao-hsien'],"Young lovers Wan and Huen, fresh out of junior high school in the remote, mountainous mining town where they were raised, look forward to a bright future together in their new home of Taipei—only to face first the grim reality of urban life there, then…",1986,3.9,https://letterboxd.com/film/dust-in-the-wind/
An Affair to Remember,https://metrograph.com/wp-content/uploads/2025/11/AN-AFFAIR-TO-REMEMBER_2.jpeg,['Leo  McCarey'],"Almost 20 years after his 1939 Love Affair, McCarey returned to the same story—that of a jaded fortune-hunting roué and unhappily engaged woman who meet on a transatlantic liner, are redeemed in love for one another, then separated by tragedy—which…",1957,3.8,https://letterboxd.com/film/an-affair-to-remember/
