title,imageUrl,directors,year,synopsis,letterboxd_url
Punch-Drunk Love,https://metrograph.com/wp-content/uploads/2025/06/PUNCH-DRUNK-LOVE_2-copy.jpg,['Paul Thomas Anderson'],2002,"Anderson went small and Adam Sandler went serious, and the results were the best work either of them have ever done, a heartfelt little love story inspired by the real-life tale of California’s Pudding Man, starring Sandler as rage-o-holic Barry Egan,…",https://letterboxd.com/film/punch-drunk-love/
Members Only: Frankenstein with Jacob Elordi,https://metrograph.com/wp-content/uploads/2026/02/476_PF_20240829_52436_R.jpg,['Guillermo  del Toro'],2025,"Q&A with actor Jacob Elordi moderated by filmmaker Celine Song on Tuesday, February 24th",
Perfect Blue,https://metrograph.com/wp-content/uploads/2025/12/Perfect-Blue.jpg,['Satoshi Kon'],1997,"Rising J-pop star Mima quits singing to pursue a career as an actress and model—but her fans aren’t ready to see her go. When she takes on a recurring role in a popular television detective show, her handlers and collaborators suddenly start turning…",
PRIVATE EVENT TODAY IN THEATER & COMMISSARY,https://metrograph.imgix.net/2022/05/privateevent.jpg?fm=pjpg&ixlib=php-3.3.1,['Satoshi Kon'],2025,Please check back soon for updated showtimes!,
Nostalghia,https://metrograph.com/wp-content/uploads/2025/02/NOSTALGHIA_4.jpeg,['Andrei Tarkovsky'],1983,"Tarkovsky’s penultimate film, and his first shot outside the USSR, channels the filmmaker’s own sense of displacement into the story of a homesick Russian poet (Oleg Yankovsky)—in Italy to do research on 18th-century Russian expatriate composer…",
The Wind Will Carry Us,https://metrograph.com/wp-content/uploads/2026/01/THE-WIND-WILL-CARRY-US_1.jpeg,['Abbas Kiarostami'],1999,"Angling to film the funeral of a 100-year-old woman whose death is believed to be immediately imminent, a small film crew from Tehran pose as a group of treasure hunters to descend on their unwitting subject’s village in rural Iranian Kurdistan in…",
In the Mood for Love,https://metrograph.com/wp-content/uploads/2025/11/IN-THE-MOOD-FOR-LOVE_8.jpeg,['Wong Kar-wai'],2000,"Wong’s arthouse smash is the very simple tale of two people in early ’60s Hong Kong, Mr. Chow (Tony Leung Chiu-wai) and Mrs. Chen (Maggie Cheung), drawn to one another by the discovery that their spouses are getting together on the side. A little…",
The Silence,https://metrograph.com/wp-content/uploads/2024/07/THE-SILENCE_1.jpg,['Ingmar  Bergman'],1963,"The third film in Bergman’s Faith Trilogy stars Ingrid Thulin and Gunnel Lindblom as Ester and Anna, two estranged sisters, one prim, the other a voluptuary, who, along with Ester’s young son Johan, take rooms in an otherwise vacant hotel in an…",
Jollof Films presents Xalé: The Childhood Wounds,https://metrograph.com/wp-content/uploads/2026/01/Jollof.jpg,['Moussa Sene Absa'],2022,"Q&A with Jollof Films on Friday, February 27th",
The Holy Girl,https://metrograph.com/wp-content/uploads/2026/01/THE-HOLY-GIRL_3.jpeg,['Lucrecia  Martel'],2004,"Martel’s second feature is a sullen, sensuous study in monomania and blighted love set in motion when Amalia (María Alche), an introverted, devout parochial school student, finds herself on the receiving end of an act of frottage in a crowd,…",
Klute,https://metrograph.com/wp-content/uploads/2026/01/KLUTE_4-copy.jpg,['Alan J. Pakula'],1971,"Jane Fonda is, of course, supremely excellent in the role that won her an Oscar, that of tough-minded high-class New York call girl Bree Daniels—who aspires to a career in modeling—but she gets invaluable assistance from Donald Sutherland, playing the…",
A Real Young Girl,https://metrograph.com/wp-content/uploads/2026/01/RealYoungGirl_image_05.jpeg,['Catherine Breillat'],1976,"Completed in 1976 but not given a theatrical release until 2000, Breillat’s censor-infuriating, no-punches-pulled feature debut, an adaptation of her own fourth novel, Le Soupirail, that ranks among the most daring depictions of budding sexuality ever…",
La ronde,https://metrograph.com/wp-content/uploads/2026/01/LA-RONDE_1.jpeg,['Max Ophuls'],1950,"Based on a play by Arthur Schnitzler, as had been Ophuls’s 1933 Liebelei, La Ronde, set in turn-of-the-last-century Vienna, is a baton-passing narrative consisting of 10 individual vignettes in which pairs of lovers—among their ranks Simone Signoret,…",
"Saturday Afternoon Cartoons: Cats, Rats & Co.",https://metrograph.com/wp-content/uploads/2026/01/Steamboat-Willie.jpeg,['Multiple Dirs'],1950,"Introduction and Q&A with curator Tommy José Stathes on Saturday, February 28th",
Le Plaisir,https://metrograph.com/wp-content/uploads/2026/01/LE-PLAISIR_1.jpeg,['Max Ophuls'],1952,"Ophuls’s penultimate film, much admired by Stanley Kubrick, is a triptych in which each section is drawn from a Guy de Maupassant story (the “author,” voiced by Jean Servais, narrates), with its longer, altogether more ebullient central section,…",
Carlos,https://metrograph.com/wp-content/uploads/2026/01/CARLOS_1.jpeg,['Olivier  Assayas'],2010,"The life of Venezuelan terrorist Ilich Ramírez Sánchez, code name “Carlos,” is dramatized in Assayas’s sprawling, richly detailed, and quite frequently thrilling biopic, which picks up with its title character, embodied by a superb Edgar Ramirez,…",
Hero,https://metrograph.com/wp-content/uploads/2026/01/HERO_3-copy.jpg,['Yimou Zhang'],2002,"A sumptuous Warring States-era wuxia boasting an ingeniously constructed and endlessly surprising cloak-and-dagger plot enacted by a cast for the ages, featuring Tony Leung, Maggie Cheung, and Donnie Yen as a trio of assassins targeting the king of Qin…",
Inside the Yellow Cocoon Shell,https://metrograph.com/wp-content/uploads/2026/01/INSIDE-THE-YELLOW-COCOON-SHELL_5.jpeg,['Phạm  Thiên Ân'],2023,"Winner of the prestigious Caméra d’Or for best first feature at this year’s Cannes Film Festival, Pham’s accomplished debut centers on a thirtysomething Vietnamese man (Lê Phong Vũ) who returns from Saigon to his rural hometown in the wake of a…",
