title,imageUrl,directors,synopsis,e
Forty Deuce,https://metrograph.com/wp-content/uploads/2025/08/MSDFODE_EC007.jpeg,['Paul Morrissey'],"Introduction by filmmaker Michael M. Bilandic on Friday, September 12th","Message: 
Stacktrace:
0   chromedriver                        0x000000010107f668 cxxbridge1$str$ptr + 2882776
1   chromedriver                        0x0000000101077594 cxxbridge1$str$ptr + 2849796
2   chromedriver                        0x0000000100ba10dc _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 73436
3   chromedriver                        0x0000000100be8474 _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 365172
4   chromedriver                        0x0000000100c2966c _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 631916
5   chromedriver                        0x0000000100bdc130 _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 315184
6   chromedriver                        0x0000000101043b98 cxxbridge1$str$ptr + 2638344
7   chromedriver                        0x0000000101046db0 cxxbridge1$str$ptr + 2651168
8   chromedriver                        0x0000000101024634 cxxbridge1$str$ptr + 2509988
9   chromedriver                        0x000000010104765c cxxbridge1$str$ptr + 2653388
10  chromedriver                        0x0000000101015dd0 cxxbridge1$str$ptr + 2450496
11  chromedriver                        0x0000000101066ee4 cxxbridge1$str$ptr + 2782548
12  chromedriver                        0x0000000101067064 cxxbridge1$str$ptr + 2782932
13  chromedriver                        0x00000001010771e0 cxxbridge1$str$ptr + 2848848
14  libsystem_pthread.dylib             0x00000001818a3c0c _pthread_start + 136
15  libsystem_pthread.dylib             0x000000018189eb80 thread_start + 8
"
Made In New York: Best of NYC Indie Animation,https://metrograph.com/wp-content/uploads/2025/08/BUNNY_5.jpeg,['Multiple Dirs'],"Just as New York has long been the capital of America’s artistically ambitious “Second Cinema,” a scrappy foil to the Los Angelino industry of streamlined entertainment, it is also home to a counter-tradition of independent animation that has…","Message: 
Stacktrace:
0   chromedriver                        0x000000010107f668 cxxbridge1$str$ptr + 2882776
1   chromedriver                        0x0000000101077594 cxxbridge1$str$ptr + 2849796
2   chromedriver                        0x0000000100ba10dc _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 73436
3   chromedriver                        0x0000000100be8474 _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 365172
4   chromedriver                        0x0000000100c2966c _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 631916
5   chromedriver                        0x0000000100bdc130 _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 315184
6   chromedriver                        0x0000000101043b98 cxxbridge1$str$ptr + 2638344
7   chromedriver                        0x0000000101046db0 cxxbridge1$str$ptr + 2651168
8   chromedriver                        0x0000000101024634 cxxbridge1$str$ptr + 2509988
9   chromedriver                        0x000000010104765c cxxbridge1$str$ptr + 2653388
10  chromedriver                        0x0000000101015dd0 cxxbridge1$str$ptr + 2450496
11  chromedriver                        0x0000000101066ee4 cxxbridge1$str$ptr + 2782548
12  chromedriver                        0x0000000101067064 cxxbridge1$str$ptr + 2782932
13  chromedriver                        0x00000001010771e0 cxxbridge1$str$ptr + 2848848
14  libsystem_pthread.dylib             0x00000001818a3c0c _pthread_start + 136
15  libsystem_pthread.dylib             0x000000018189eb80 thread_start + 8
"
Madame Wang's,https://metrograph.com/wp-content/uploads/2025/08/MADAME-WANGS_2.webp,['Paul Morrissey'],"Introduction by writer Nick Pinkerton on Saturday, September 6th","Message: 
Stacktrace:
0   chromedriver                        0x000000010107f668 cxxbridge1$str$ptr + 2882776
1   chromedriver                        0x0000000101077594 cxxbridge1$str$ptr + 2849796
2   chromedriver                        0x0000000100ba10dc _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 73436
3   chromedriver                        0x0000000100be8474 _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 365172
4   chromedriver                        0x0000000100c2966c _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 631916
5   chromedriver                        0x0000000100bdc130 _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 315184
6   chromedriver                        0x0000000101043b98 cxxbridge1$str$ptr + 2638344
7   chromedriver                        0x0000000101046db0 cxxbridge1$str$ptr + 2651168
8   chromedriver                        0x0000000101024634 cxxbridge1$str$ptr + 2509988
9   chromedriver                        0x000000010104765c cxxbridge1$str$ptr + 2653388
10  chromedriver                        0x0000000101015dd0 cxxbridge1$str$ptr + 2450496
11  chromedriver                        0x0000000101066ee4 cxxbridge1$str$ptr + 2782548
12  chromedriver                        0x0000000101067064 cxxbridge1$str$ptr + 2782932
13  chromedriver                        0x00000001010771e0 cxxbridge1$str$ptr + 2848848
14  libsystem_pthread.dylib             0x00000001818a3c0c _pthread_start + 136
15  libsystem_pthread.dylib             0x000000018189eb80 thread_start + 8
"
Dirty Harry [4K DCP],https://metrograph.com/wp-content/uploads/2025/08/DIRTY-HARRY_6-copy.jpg,['Don Siegel'],"An outraged Pauline Kael called it a “fascist masterpiece” in The New Yorker, Warner Brothers called it a cash cow, and audiences around the world called it a helluva wild ride, besotted with an entirely new breed of urban antihero, Clint Eastwood’s…","Message: 
Stacktrace:
0   chromedriver                        0x000000010107f668 cxxbridge1$str$ptr + 2882776
1   chromedriver                        0x0000000101077594 cxxbridge1$str$ptr + 2849796
2   chromedriver                        0x0000000100ba10dc _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 73436
3   chromedriver                        0x0000000100be8474 _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 365172
4   chromedriver                        0x0000000100c2966c _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 631916
5   chromedriver                        0x0000000100bdc130 _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 315184
6   chromedriver                        0x0000000101043b98 cxxbridge1$str$ptr + 2638344
7   chromedriver                        0x0000000101046db0 cxxbridge1$str$ptr + 2651168
8   chromedriver                        0x0000000101024634 cxxbridge1$str$ptr + 2509988
9   chromedriver                        0x000000010104765c cxxbridge1$str$ptr + 2653388
10  chromedriver                        0x0000000101015dd0 cxxbridge1$str$ptr + 2450496
11  chromedriver                        0x0000000101066ee4 cxxbridge1$str$ptr + 2782548
12  chromedriver                        0x0000000101067064 cxxbridge1$str$ptr + 2782932
13  chromedriver                        0x00000001010771e0 cxxbridge1$str$ptr + 2848848
14  libsystem_pthread.dylib             0x00000001818a3c0c _pthread_start + 136
15  libsystem_pthread.dylib             0x000000018189eb80 thread_start + 8
"
Beethoven's Nephew,https://metrograph.com/wp-content/uploads/2025/08/BEETHOVENS-NEPHEW_1.webp,['Paul Morrissey'],"While a passionate admirer of Beethoven the artist, Morrissey, in his lavish period biopic, shot on location in Vienna, paints a less than flattering portrait of Beethoven the man, as played here by Wolfgang Reichmann, in the cantankerous, stone-deaf…","Message: 
Stacktrace:
0   chromedriver                        0x000000010107f668 cxxbridge1$str$ptr + 2882776
1   chromedriver                        0x0000000101077594 cxxbridge1$str$ptr + 2849796
2   chromedriver                        0x0000000100ba10dc _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 73436
3   chromedriver                        0x0000000100be8474 _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 365172
4   chromedriver                        0x0000000100c2966c _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 631916
5   chromedriver                        0x0000000100bdc130 _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 315184
6   chromedriver                        0x0000000101043b98 cxxbridge1$str$ptr + 2638344
7   chromedriver                        0x0000000101046db0 cxxbridge1$str$ptr + 2651168
8   chromedriver                        0x0000000101024634 cxxbridge1$str$ptr + 2509988
9   chromedriver                        0x000000010104765c cxxbridge1$str$ptr + 2653388
10  chromedriver                        0x0000000101015dd0 cxxbridge1$str$ptr + 2450496
11  chromedriver                        0x0000000101066ee4 cxxbridge1$str$ptr + 2782548
12  chromedriver                        0x0000000101067064 cxxbridge1$str$ptr + 2782932
13  chromedriver                        0x00000001010771e0 cxxbridge1$str$ptr + 2848848
14  libsystem_pthread.dylib             0x00000001818a3c0c _pthread_start + 136
15  libsystem_pthread.dylib             0x000000018189eb80 thread_start + 8
"
PRIVATE EVENT TODAY IN THEATER & COMMISSARY,https://metrograph.imgix.net/2022/05/privateevent.jpg?fm=pjpg&ixlib=php-3.3.1,['Fruit Chan'],Please check back soon for updated showtimes!,
"Institute Benjamenta, or This Dream That One...",https://metrograph.com/wp-content/uploads/2025/08/INSTITUTE-BENJAMENTA_11-copy.jpg,"['Timothy Quay', 'Stephen  Quay']","Timothy and Stephen Quays’ first live-action feature, a free adaptation of Jakob von Gunten, the 1909 Bildungsroman by Swiss author Robert Walser, is a troubling work of oneiric cinema that garnered comparisons to early David Lynch. A young Mark Rylance…","Message: 
Stacktrace:
0   chromedriver                        0x000000010107f668 cxxbridge1$str$ptr + 2882776
1   chromedriver                        0x0000000101077594 cxxbridge1$str$ptr + 2849796
2   chromedriver                        0x0000000100ba10dc _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 73436
3   chromedriver                        0x0000000100be8474 _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 365172
4   chromedriver                        0x0000000100c2966c _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 631916
5   chromedriver                        0x0000000100bdc130 _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 315184
6   chromedriver                        0x0000000101043b98 cxxbridge1$str$ptr + 2638344
7   chromedriver                        0x0000000101046db0 cxxbridge1$str$ptr + 2651168
8   chromedriver                        0x0000000101024634 cxxbridge1$str$ptr + 2509988
9   chromedriver                        0x000000010104765c cxxbridge1$str$ptr + 2653388
10  chromedriver                        0x0000000101015dd0 cxxbridge1$str$ptr + 2450496
11  chromedriver                        0x0000000101066ee4 cxxbridge1$str$ptr + 2782548
12  chromedriver                        0x0000000101067064 cxxbridge1$str$ptr + 2782932
13  chromedriver                        0x00000001010771e0 cxxbridge1$str$ptr + 2848848
14  libsystem_pthread.dylib             0x00000001818a3c0c _pthread_start + 136
15  libsystem_pthread.dylib             0x000000018189eb80 thread_start + 8
"
Saturday Afternoon Cartoons: School is Cool,https://metrograph.com/wp-content/uploads/2025/09/Bobby-Bumps-Starts-to-School-desk-scene.jpeg,['Multiple Dirs'],"Saturday Afternoon Cartoons is New York City’s prime theatrical showcase of early and classic animated cartoons, shown in vintage 16mm film prints from the personal archives of historian Tommy José Stathes. Beginning more than 25 years ago as a casual…","Message: 
Stacktrace:
0   chromedriver                        0x000000010107f668 cxxbridge1$str$ptr + 2882776
1   chromedriver                        0x0000000101077594 cxxbridge1$str$ptr + 2849796
2   chromedriver                        0x0000000100ba10dc _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 73436
3   chromedriver                        0x0000000100be8474 _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 365172
4   chromedriver                        0x0000000100c2966c _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 631916
5   chromedriver                        0x0000000100bdc130 _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 315184
6   chromedriver                        0x0000000101043b98 cxxbridge1$str$ptr + 2638344
7   chromedriver                        0x0000000101046db0 cxxbridge1$str$ptr + 2651168
8   chromedriver                        0x0000000101024634 cxxbridge1$str$ptr + 2509988
9   chromedriver                        0x000000010104765c cxxbridge1$str$ptr + 2653388
10  chromedriver                        0x0000000101015dd0 cxxbridge1$str$ptr + 2450496
11  chromedriver                        0x0000000101066ee4 cxxbridge1$str$ptr + 2782548
12  chromedriver                        0x0000000101067064 cxxbridge1$str$ptr + 2782932
13  chromedriver                        0x00000001010771e0 cxxbridge1$str$ptr + 2848848
14  libsystem_pthread.dylib             0x00000001818a3c0c _pthread_start + 136
15  libsystem_pthread.dylib             0x000000018189eb80 thread_start + 8
"
Atlantic Watch: Love + War,https://metrograph.com/wp-content/uploads/2025/08/LoveWar-CK-0L4A3521-R.jpeg,"['Chai Vasarhelyi', 'Jimmy Chin']","Post-screening conversation with Pulitzer Prize–winning photographer, Lynsey Addario, and director, Chai Vasarhelyi","Message: 
Stacktrace:
0   chromedriver                        0x000000010107f668 cxxbridge1$str$ptr + 2882776
1   chromedriver                        0x0000000101077594 cxxbridge1$str$ptr + 2849796
2   chromedriver                        0x0000000100ba10dc _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 73436
3   chromedriver                        0x0000000100be8474 _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 365172
4   chromedriver                        0x0000000100c2966c _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 631916
5   chromedriver                        0x0000000100bdc130 _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 315184
6   chromedriver                        0x0000000101043b98 cxxbridge1$str$ptr + 2638344
7   chromedriver                        0x0000000101046db0 cxxbridge1$str$ptr + 2651168
8   chromedriver                        0x0000000101024634 cxxbridge1$str$ptr + 2509988
9   chromedriver                        0x000000010104765c cxxbridge1$str$ptr + 2653388
10  chromedriver                        0x0000000101015dd0 cxxbridge1$str$ptr + 2450496
11  chromedriver                        0x0000000101066ee4 cxxbridge1$str$ptr + 2782548
12  chromedriver                        0x0000000101067064 cxxbridge1$str$ptr + 2782932
13  chromedriver                        0x00000001010771e0 cxxbridge1$str$ptr + 2848848
14  libsystem_pthread.dylib             0x00000001818a3c0c _pthread_start + 136
15  libsystem_pthread.dylib             0x000000018189eb80 thread_start + 8
"
Black Is... Black Ain't,https://metrograph.com/wp-content/uploads/2025/08/BLACK-IS.-BLACK-AINT_3-copy.jpg,['Marlon Riggs'],"Riggs was dead of complications of AIDS at age 37 before his final film had its much-praised theatrical rollout, his depiction of his own race against time to complete Black Is… Black Ain’t: one of the many threads making up the rich tapestry that is…","Message: 
Stacktrace:
0   chromedriver                        0x000000010107f668 cxxbridge1$str$ptr + 2882776
1   chromedriver                        0x0000000101077594 cxxbridge1$str$ptr + 2849796
2   chromedriver                        0x0000000100ba10dc _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 73436
3   chromedriver                        0x0000000100be8474 _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 365172
4   chromedriver                        0x0000000100c2966c _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 631916
5   chromedriver                        0x0000000100bdc130 _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 315184
6   chromedriver                        0x0000000101043b98 cxxbridge1$str$ptr + 2638344
7   chromedriver                        0x0000000101046db0 cxxbridge1$str$ptr + 2651168
8   chromedriver                        0x0000000101024634 cxxbridge1$str$ptr + 2509988
9   chromedriver                        0x000000010104765c cxxbridge1$str$ptr + 2653388
10  chromedriver                        0x0000000101015dd0 cxxbridge1$str$ptr + 2450496
11  chromedriver                        0x0000000101066ee4 cxxbridge1$str$ptr + 2782548
12  chromedriver                        0x0000000101067064 cxxbridge1$str$ptr + 2782932
13  chromedriver                        0x00000001010771e0 cxxbridge1$str$ptr + 2848848
14  libsystem_pthread.dylib             0x00000001818a3c0c _pthread_start + 136
15  libsystem_pthread.dylib             0x000000018189eb80 thread_start + 8
"
