title,imageUrl,directors,synopsis,year,rating,letterboxd_url,event_description,event_time_date
The Player,https://metrograph.com/wp-content/uploads/2026/02/THE-PLAYER_1.jpeg,['Robert Altman'],"Opening with a bravura studio lot crane shot that’s the first of its several references to Orson Welles’s Touch of Evil, The Player is a poison pen letter to Hollywood from Altman—like Welles, a perennial outsider—in which executive Tim Robbins…",1992,4.0,https://letterboxd.com/film/the-player/,,
The Stairway to the Distant Past,https://metrograph.com/wp-content/uploads/2026/03/scan-003_trim_resized.jpg,['Kaizo Hayashi'],"Maiku Hama returns, now in garish Roy Lichtenstein color, in the luxuriantly melancholy second installment of Hayashi’s noir-inflected trilogy—newly restored for the 30th anniversary—this time facing off against a kingpin known as The Man in White…",1995,3.6,https://letterboxd.com/film/the-stairway-to-the-distant-past/,,
Outskirts,https://metrograph.com/wp-content/uploads/2026/02/OUTSKIRTS_jeffrey-wp_3.jpeg,['Boris Barnet'],"Introduction by Metrograph Programmer Edo Choi and The Theater of the Matters on Saturday, March 21st",1933,3.7,https://letterboxd.com/film/outskirts/,"Introduction by Metrograph Programmer Edo Choi and The Theater of the Matters on Saturday, March 21st","Saturday March 21, 6:40pm"
The Trap,https://metrograph.com/wp-content/uploads/2026/02/THE-TRAP_1.jpg,['Kaizo Hayashi'],"An outbreak of mysterious murders has Yokohama in the chill grip of fear, and only one man, private eye Maiku Hama (Masatoshi Nagase)—here in his final Hiyashi-helmed adventure, newly restored for the trilogy’s 30th anniversary—can bring the killing…",1996,3.6,https://letterboxd.com/film/the-trap-1996/,,
By the Bluest of Seas,https://metrograph.com/wp-content/uploads/2026/02/BY-THE-BLUEST-OF-THE-SEAS-1600x900-1.jpg,['Boris Barnet'],"Introduction by The Theater of the Matters, film programmer Hannah Yang, and Metrograph Programmer Edo Choi on Saturday, March 21st – One screening only!",1936,3.7,https://letterboxd.com/film/by-the-bluest-of-seas/,"Introduction by The Theater of the Matters, film programmer Hannah Yang, and Metrograph Programmer Edo Choi on Saturday, March 21st – One screening only!","Saturday March 21, 8:45pm"
Inland Empire,https://metrograph.com/wp-content/uploads/2023/08/inland-empire.jpg,['David Lynch'],"A murky, miasmic, continent-hopping nightmare that’s a vehicle for longtime Lynch muse Laura Dern, playing Nikki Grace, a Hollywood starlet who’s sent into a spiraling identity crisis. Lynch acts as his own cinematographer on Inland Empire, his last…",2006,3.9,https://letterboxd.com/film/inland-empire/,,
Stalker,https://metrograph.com/wp-content/uploads/2025/10/STALKER_6.jpeg,['Andrei Tarkovsky'],"Tarkovsky’s stunning, haunted sepia-toned sci-fi masterpiece follows a scientist and a writer who, living in a broken-down totalitarian dystopia, recruit the help of a “Stalker”—a kind of post-apocalyptic Sherpa—to guide them on a voyage of…",1979,4.4,https://letterboxd.com/film/stalker/,,
Kiss Me Deadly,https://metrograph.com/wp-content/uploads/2026/02/KISS-ME-DEADLY_5.jpeg,['Robert Aldrich'],"Aldrich’s va-va-voom hard-boiled doomsday thriller begins on the road to nowhere and ends at a burning beach bungalow that may be the lit fuse setting off Armageddon, following gumshoe Mike Hammer (Ralph Meeker) on the trail of a “great whatsit”…",1955,4.0,https://letterboxd.com/film/kiss-me-deadly/,,
Ghost Dog: The Way of the Samurai,https://metrograph.com/wp-content/uploads/2026/02/GHOST-DOG_1.jpg,['Jim Jarmusch'],"Forest Whitaker’s Ghost Dog isn’t your run-of-the-mill Cosa Nostra hitman: he’s a devoted bibliophile who scrupulously follows the samurai code as laid out in Yamamoto Tsunetomo’s 18th-century Hagakure, and spends his idle hours tending to his…",1999,4.1,https://letterboxd.com/film/ghost-dog-the-way-of-the-samurai/,,
High Life,https://metrograph.com/wp-content/uploads/2026/02/HIGH-LIFE_1-copy.jpg,['Claire Denis'],"Science fiction as done by Claire Denis is science fiction unlike anything you’ve ever seen, a bold experiment to the outer limits of genre, where no woman has gone before. Robert Pattinson, in a performance of quiet intensity and gravitas, is first…",2018,3.2,https://letterboxd.com/film/high-life-2018/,,
Let the Sunshine In,https://metrograph.com/wp-content/uploads/2026/02/LET-THE-SUNSHINE-IN.jpg,['Claire Denis'],"Introduction by actor Juliette Binoche on Sunday, March 22nd",2017,3.3,https://letterboxd.com/film/let-the-sunshine-in/,"Introduction by actor Juliette Binoche on Sunday, March 22nd","Sunday March 22, 9:30pm"
The Wind Will Carry Us,https://metrograph.com/wp-content/uploads/2026/01/THE-WIND-WILL-CARRY-US_1.jpeg,['Abbas Kiarostami'],"Angling to film the funeral of a 100-year-old woman whose death is believed to be immediately imminent, a small film crew from Tehran pose as a group of treasure hunters to descend on their unwitting subject’s village in rural Iranian Kurdistan in…",1999,4.1,https://letterboxd.com/film/the-wind-will-carry-us/,,
Sunset Boulevard,https://metrograph.com/wp-content/uploads/2026/02/SUNSET-BOULEVARD_10.jpg,['Billy Wilder'],"Utterly transfixing from the opening moments, in which Midwestern journalist-cum-skint-screenwriter Joe Gillis (William Holden) begins to posthumously narrate his sob story while floating face-down in a swimming pool in the Hollywood Hills, Wilder’s…",1950,4.4,https://letterboxd.com/film/sunset-boulevard/,,
The Unbearable Lightness of Being,https://metrograph.com/wp-content/uploads/2025/09/THE-UNBEARABLE-LIGHTNESS-OF-BEING_44.jpeg,['Philip Kaufman'],"Evoking the air of eager optimism that accompanied the Prague Spring thaw of 1968 and the air of disillusion and distrust that followed the Soviet crackdown in summer of the same year, Kaufman’s adaptation of Milan Kundera’s beloved novel, among other…",1988,3.7,https://letterboxd.com/film/the-unbearable-lightness-of-being/,,
Inherent Vice,https://metrograph.com/wp-content/uploads/2026/02/INHERENT-VICE_1-copy.jpg,['Paul Thomas Anderson'],"In which “Doc” Sportello (Joaquin Phoenix), a stoner private detective based in the Los Angeles-area beach ’burg of Gordita Beach, gets sucked into a conspiracy that’s more than mere pot paranoia after a visit from ex-old lady Katherine Waterston.…",2014,3.6,https://letterboxd.com/film/inherent-vice/,,
Nostalghia,https://metrograph.com/wp-content/uploads/2025/02/NOSTALGHIA_4.jpeg,['Andrei Tarkovsky'],"Tarkovsky’s penultimate film, and his first shot outside the USSR, channels the filmmaker’s own sense of displacement into the story of a homesick Russian poet (Oleg Yankovsky)—in Italy to do research on 18th-century Russian expatriate composer…",1983,4.3,https://letterboxd.com/film/nostalgia-1983/,,
Mauvais Sang,https://metrograph.com/wp-content/uploads/2026/02/MAUVAIS-SANG_3.jpeg,['Leos Carax'],"A genre-bending explosion of pure cinematic effervescence pairing Binoche and Denis Lavant, both at the beginnings of storied careers. Binoche plays the gamine mistress of a superannuated Paris gangster (Michel Piccoli), while Lavant stars as a street…",1986,3.9,https://letterboxd.com/film/mauvais-sang/,,
Memoria,https://metrograph.com/wp-content/uploads/2026/01/MEMORIA_8-copy.jpg,['Apichatpong Weerasethakul'],"Few filmmakers have so closely tied their work to one region as Apichatpong has to the rural northeast of his native Thailand, but in Memoria, the writer-director plunges into new territory, filming in Colombia’s city streets and mountain-top villages…",2021,3.8,https://letterboxd.com/film/memoria-2021/,,
Ed Wood,https://metrograph.com/wp-content/uploads/2026/02/ED-WOOD_3.webp,['Tim Burton'],"A paean to creative obsession for obsession’s sake, Burton’s black-and-white biopic stars a wide-eyed Johnny Depp as Ed Wood, a cross-dressing Marine Corps vet and pariah of ’50s Hollywood who, with the help of his indefatigable, infectious…",1994,4.0,https://letterboxd.com/film/ed-wood/,,
