month,variable,value,monthNum
January,cloudCover,0.422580645,1
January,dewPoint,19.69806452,1
January,humidity,0.653225806,1
January,temperatureMax,37.42645161,1
January,temperatureMin,23.11935484,1
January,uvIndex,2,1
January,visibility,9.056774194,1
January,windGust,11.86612903,1
January,windSpeed,2.840322581,1
February,cloudCover,0.610714286,2
February,dewPoint,31.17964286,2
February,humidity,0.726071429,2
February,temperatureMax,47.47357143,2
February,temperatureMin,32.735,2
February,uvIndex,2.964285714,2
February,visibility,8.531785714,2
February,windGust,10.66892857,2
February,windSpeed,1.881428571,2
March,cloudCover,0.552580645,3
March,dewPoint,26.15483871,3
March,humidity,0.627741935,3
March,temperatureMax,44.93290323,3
March,temperatureMin,33.16677419,3
March,uvIndex,4.677419355,3
March,visibility,8.974516129,3
March,windGust,14.07870968,3
March,windSpeed,3.591612903,3
April,cloudCover,0.566333333,4
April,dewPoint,34.085,4
April,humidity,0.624,4
April,temperatureMax,55.29333333,4
April,temperatureMin,40.29133333,4
April,uvIndex,5.866666667,4
April,visibility,8.978333333,4
April,windGust,13.95133333,4
April,windSpeed,2.679,4
May,cloudCover,0.565806452,5
May,dewPoint,53.29741935,5
May,humidity,0.696129032,5
May,temperatureMax,74.23193548,5
May,temperatureMin,57.05967742,5
May,uvIndex,7.096774194,5
May,visibility,8.92,5
May,windGust,9.619677419,5
May,windSpeed,2.231290323,5
June,cloudCover,0.490666667,6
June,dewPoint,57.803,6
June,humidity,0.665333333,6
June,temperatureMax,78.401,6
June,temperatureMin,62.865,6
June,uvIndex,7.433333333,6
June,visibility,9.637666667,6
June,windGust,9.357,6
June,windSpeed,3.698333333,6
July,cloudCover,0.389354839,7
July,dewPoint,65.13580645,7
July,humidity,0.699354839,7
July,temperatureMax,84.14516129,7
July,temperatureMin,69.32967742,7
July,uvIndex,7.612903226,7
July,visibility,9.558387097,7
July,windGust,10.15193548,7
July,windSpeed,3.889032258,7
August,cloudCover,0.479677419,8
August,dewPoint,68.18645161,8
August,humidity,0.749032258,8
August,temperatureMax,84.0516129,8
August,temperatureMin,71.38225806,8
August,uvIndex,6.580645161,8
August,visibility,9.580967742,8
August,windGust,8.471290323,8
August,windSpeed,3.488064516,8
September,cloudCover,0.669333333,9
September,dewPoint,63.43533333,9
September,humidity,0.805,9
September,temperatureMax,75.68333333,9
September,temperatureMin,64.80533333,9
September,uvIndex,4.8,9
September,visibility,9.266,9
September,windGust,8.573333333,9
September,windSpeed,3.727,9
October,cloudCover,0.577741935,10
October,dewPoint,47.62677419,10
October,humidity,0.735483871,10
October,temperatureMax,63.47870968,10
October,temperatureMin,50.65387097,10
October,uvIndex,3.322580645,10
October,visibility,9.453548387,10
October,windGust,11.42096774,10
October,windSpeed,4.79516129,10
November,cloudCover,0.595666667,11
November,dewPoint,32.78233333,11
November,humidity,0.671333333,11
November,temperatureMax,48.87633333,11
November,temperatureMin,38.04666667,11
November,uvIndex,2.166666667,11
November,visibility,9.175333333,11
November,windGust,13.699,11
November,windSpeed,5.347666667,11
December,cloudCover,0.552903226,12
December,dewPoint,29.25806452,12
December,humidity,0.691290323,12
December,temperatureMax,44.30193548,12
December,temperatureMin,33.60032258,12
December,uvIndex,1.612903226,12
December,visibility,8.928064516,12
December,windGust,11.80806452,12
December,windSpeed,4.788709677,12
